product_id,quantity,wholesale_cost,sale_price,supplier_id
RAQRJ3BRC80N,4631,429.2,769.56,KKARISPB
PEMP3JGKNQ4I,4857,415.55,567.23,GOFGWMHT
PNUIH6T1IYQQ,3609,403.42,470.39,XWGVAYRB
XLS48IBKVC7C,3738,374.4,571.71,AORTVRJK
N86F81P9GM8Q,5793,370.51,688.04,RNJCIUYL
YFS5JKX7GG1L,2021,137.65,161.05,RLSLWIJL
ITB6IJOF7R60,1138,133.37,149.37,KKARISPB
9JRRFY6ETMNZ,4954,455.63,521.24,TTNTZICM
UD935PCMFV42,426,38.73,60.53,VROJQKAT
F517MJ2QLSS0,4781,392.76,618.99,LTMCLIKO
LBH6UWAEK4IK,5375,398.08,516.31,SRVZELTU
DVT9D3FRMO29,576,40.27,46.19,IEQQZVXQ
GVP9YL85130Q,556,40.79,75.34,LFHBLKHY
0HVE2APON3H1,606,43.97,64.06,YHVDEOGN
23MMPG0QKR6O,4364,452.82,698.7,AYRCBWOS
XMJ64VDTNZ6G,4525,356.4,484.7,GVAGELSL
VOUV0LVXCONV,4955,361.5,517.67,GPITYYOL
ILU3BUCPU962,1649,125.82,203.07,WNCIKAZH
VOM5G7U145XU,1933,112.05,185.44,YDAZLCXS
BN7LW1E2MF0T,284,10.54,17.89,YGPSFNGF
2DP5C7QQQPVM,5091,384.85,536.48,GVAGELSL
P38SNDXB4XGP,3956,387.48,657.55,GVAGELSL
66U8VF8IUDU4,1730,120.07,167.98,YGPSFNGF
K4O1C1RG387L,3312,436.09,512.41,YGPSFNGF
B4GZFXZ8O3IP,1616,120.07,164.98,GTTZRPID
W0T4D4SRIKX8,4923,436.09,548.6,HNDLTJYU
NIS1D6UKC5WU,2048,127.48,158.71,TRJOUVJM
AOBXP4GBLR2A,1477,125.82,162.06,IJQFBKWU
E8H6NTV51EE4,3447,327.62,595.94,SRVZELTU
Y1GYCX0GPBGZ,1335,101.97,166.52,KEKAHFDF
UQGOQ8ZXFJDA,5066,388.8,533.82,SRVZELTU
K6L1TKWMAJ7S,5585,327.62,391.83,XWGVAYRB
5FCCCHAF44FA,2676,116.84,135.18,QJEFCBRL
SZRQQ6FOFXZ3,875,35.71,47.53,GOFGWMHT
GSQBVFZ9RM81,121,5.29,9.79,XEUXXZUP
4N680LBBMTBV,734,46.14,54.31,UCLCUSLA
7CZBBANHRUX7,3826,412.84,711.74,GTTZRPID
D83PGEWTTY0Z,1412,127.48,240.43,RVPCSDXG
4HSR3X2GC0FV,3720,386.16,543.71,DQPANBWY
TCOD87QXNWIK,4616,386.16,629.83,YGGDUMLL
JCPMLK6ZVOKG,5486,408.79,732.14,SRVZELTU
36P9EF23T8S0,4408,400.75,753.41,HKKADSEQ
JR5PEORH6PQU,4000,388.8,545.1,VGXRNQAJ
